tree_id,skill_id,skill_name,skill_desc,max_level,per_level_effect,cost_per_level,effect_type,effect_base,effect_per_level
wrath,wrath_1,강타,단일 대상 STR 150% 데미지,5,+30% 데미지/레벨,1,dmg_mult,1.5,0.3
wrath,wrath_2,분노의 일격,HP 비례 추가 데미지 (잃은 HP 1%당 +2%),5,+0.5% 비례/레벨,1,lost_hp_dmg,2.0,0.5
wrath,wrath_3,흡혈타,데미지의 10% HP 회복,5,+3% 회복/레벨,1,lifesteal,10,3
wrath,wrath_4,광란,공격속도 +20% (3턴),3,+10% 공속/레벨,2,atk_speed_buff,20,10
envy,envy_1,약탈,적 버프 1개 흡수,5,흡수 확률 +10%/레벨,1,steal_buff,50,10
envy,envy_2,박탈의 손길,적 스탯 5% 감소 + 자신에게 적용,5,+2% 흡수/레벨,1,stat_drain,5,2
envy,envy_3,질투의 눈,치명타 확률 +10%,5,+3% 치명타/레벨,1,crit_up,10,3
envy,envy_4,거울 파편,피격 시 30% 확률 반격,3,+10% 확률/레벨,2,counter_atk,30,10
greed,greed_1,황금 타격,골드 획득 +20%,5,+10% 골드/레벨,1,gold_bonus,20,10
greed,greed_2,매수,적 1체 1턴 행동 불가,3,지속시간 +1턴/레벨,2,stun,1,1
greed,greed_3,축적,전투 지속 시 스탯 +1% 누적/턴,5,+0.5% 누적/레벨,1,stat_stack,1.0,0.5
greed,greed_4,독점,처치 시 추가 드롭 확률 +10%,3,+5% 드롭/레벨,2,drop_bonus,10,5
sloth,sloth_1,둔화,적 행동력 -20%,5,-5% 추가/레벨,1,slow,20,5
sloth,sloth_2,정지,적 1체 동결 1턴,3,+1턴/레벨,2,freeze,1,1
sloth,sloth_3,철벽,방어력 +20%,5,+5% 방어/레벨,1,def_up,20,5
sloth,sloth_4,대신 맞기,아군 1체 피해 50% 흡수 3턴,3,+10% 흡수/레벨,2,absorb,50,10
gluttony,gluttony_1,포식 타격,데미지의 15% HP 회복,5,+3% 회복/레벨,1,lifesteal,15,3
gluttony,gluttony_2,과식,공격력 +2% 영구 누적 (타격마다),5,+0.5% 누적/레벨,1,atk_stack,2.0,0.5
gluttony,gluttony_3,소화,받은 데미지의 10% 공격력 전환,3,+5% 전환/레벨,2,dmg_to_atk,10,5
gluttony,gluttony_4,폭식의 광기,HP 50% 소모 + 공격력 2배 3턴,3,소모 -5%/레벨,2,berserk,100,0
lust,lust_1,매혹,적 1체 1턴 아군으로 전환,3,+1턴/레벨,2,charm,1,1
lust,lust_2,유혹의 시선,피격한 적 공격력 5% 감소,5,+2% 감소/레벨,1,atk_debuff,5,2
lust,lust_3,은신,다음 공격 회피 확정,3,은신 후 데미지 +50%/레벨,2,stealth,1,0
lust,lust_4,기습,은신 후 첫 타 데미지 200%,5,+30% 데미지/레벨,1,ambush_dmg,2.0,0.3
pride,pride_1,불가침,상태이상 면역 2턴,3,+1턴/레벨,2,immune,2,1
pride,pride_2,군림,아군 전원 전 스탯 +5%,5,+2% 스탯/레벨,1,team_stat_up,5,2
pride,pride_3,심판,적 단일 최대HP 20% 데미지,3,+5% HP 데미지/레벨,2,hp_pct_dmg,20,5
pride,pride_4,빛의 갑옷,받는 데미지 -15%,5,-3% 추가/레벨,1,dmg_reduction,15,3
